评论,正向指数,负向指数,情感分类
"('不知道该说什么，加油，希望我们写一代当了父母不会出现这样的悲剧',)","('1.09%',)","('98.91%',)",负向
"('这个真的只能是奢望了，我想起以前看的一本小说，父母资格证，就是未来社会必须经过包括精神鉴定在内的考核取得资格证后才能生孩子，不然生下孩子也无法取得孩子的抚养权。我觉得可能要社会再发展个一两百年才可能达到那样的技术水平，但是我很希望至少能有个给父母准备的如何教育孩子的教科书。我自认为自己脾气很好了，但是面对小孩子也不知道怎么教育，一不小心就失去耐心，更加对自己未来生活感到可怕，想想自己还是单身，都想单身一辈子了。',)","('4.116%',)","('95.884%',)",负向
"('愚蠢的人任何时候都有，不可能的消失的',)","('44.549%',)","('55.451%',)",负向
"('回复 @墨眼泪香 :骗了？我觉得这些家长只不过是自己不敢这么做罢了。不然为什么那么多学生都告诉父母这地方很坏，家长还是把他送进去呢？',)","('0.007%',)","('99.993%',)",负向
"('中国社会里有无数的家长被杨永信和豫章书院这些人給骗了！还不理解自己有何错？令人痛心。',)","('0.05%',)","('99.95%',)",负向
"('刚开始也是以为豫章书院已经结束了，没想到还有后来，直到现在。。',)","('67.795%',)","('32.205%',)",负向
"('豫章书院关门不带表事情解决，就好比一个犯人被抓到最终判决多数要大半年时间',)","('1.654%',)","('98.346%',)",负向
"('没了豫章还有别的章，最重要的是家长的态度 。所以家庭教育质量也要整整',)","('6.531%',)","('93.469%',)",负向
"('说实话我以为18年左右这事已经解决了。。',)","('2.22%',)","('97.78%',)",负向
"('看到这种学校的相关视频.我想把我曾经经历的也说出来.我没那么大的文采我只能把我曾经经历过的事情曝光出来.河南郑州市下属的登封市开办了无数的少林武校（塔沟.小龙武院等等）我曾经被父母送去其中的某武校.里面也是全军事化管理.我从离开那个地方已经两三年了.我只能把我曾经亲眼所见的叙述出来.学校里面体罚学生是以“开棍”进行的.就是用木棍抽大腿根.如果教练打的狠会还会在大腿根用抽棍的方式.就是打下去以后在大腿根上一拉.火辣辣的疼.学校里面也是禁止逃跑的.抓到就打.曾经我们班里有外号个叫“大个儿”的学生.被关在寝室里暴打.当时教练让我们进去收拾屋子的时候.满地的木棍渣和血.很多打人的时候会让全班站着看.有次在一个学生被殴打的时候我曾对一个学生说过我想逃跑的念头.第二天被班里的某教练眼线捅到了教练那里.我也被“开棍”了.当时打完之后我的大腿根整个都是紫黑色.跟视频里的那张图片一模一样.然后在寝室里躺了两周.还有最惨的因为逃跑被抓的学生被打的整个大腿都是黑色.教练对我们学生的人心抓的很准.他知道那些人极端哪些人怂（例如我）那些极端的学生被打完之后会被四肢绑在床上.让其他学生送饭.教练会肆无忌惮的收礼.每次家长来了都会送烟送钱.我第一学期因为爸妈没送钱被管的很惨.教练是不允许私自带零花钱的（因为有零花卡.一周三十家长存钱学校每周往卡里打）.学校里的饭很难吃.而且里面的肉在开饭前教练会让学生把肉挑走.吃饭的时候可以看到教练的碗里满满一盆肉.更有甚者专门用一个碗放肉.学校平时的武术训练很重.一天六7节课一节一小时.家长往零花卡里打钱后.学生一般都会自己再要钱.教练会问然后让家长把钱存他那里.我爸陆陆续续存了一万多.最后我只拿了可能五千不到.剩下的就被教练贪了.因为取钱都看教练心情.心情不好不给你.手机也会被教练收走.我们教练很严.心情好一周一发.一有什么事就收回去.后面第二年为了过的好点我怂恿了我爸贿赂教练.其实我说的不痛不痒的可能.但是里面的教练打人比起这个豫章书院只会更狠更疼.里面的低级教练少说都是练过6七年的.我后面还因为跟另一个班的学生起冲突然后被他们教练暴打.掉了一颗牙.但是因为我们教练官比那个教练大.打我的教练就带我出去补了牙然后送了些牛奶之类的东西.从那次开始我就下定决心要走了.还有很多.',)","('6.049%',)","('93.951%',)",负向
"('例如学校禁烟.里面的表演队学生（上春晚少林表演那种）就会在学校倒卖烟.5块的烟卖50.没钱的就捡教练的烟头抽.因为那学校真没什么消遣的.我抽烟就是因为在那学校才染上的.教练发展老生眼线严密监视我们新生有逃跑念头.一旦被抓到就是暴打.当时有一伙学生就是商量逃跑被发现了.然后挨个挨个打.打断n根棍.更甚还用床架的钢管打过.后面我离开学校是我每次发手机就告诉我爸那学校多恐怖多恐怖.最后把我爸说通了.然后我爸从浙江开车过来以带我出去玩的借口带走.在学校外的几天教练也还时不时给我爸打电话问我们在哪.我爸当时也有些飘忽不定.一直逗留在登封.后面我声泪俱下的求着我爸才成的.原本定的出去两天.我们四天都没回去.最后一次给我爸打电话的时候口气时不时就是在暗示我回去以后有我好果子吃.我爸也听出来些就决心带我走了.告诉教练以后教练就让我俩回学校再说.还用我曾经想进跆拳道班诱惑我.但我知道回去肯定不可能再出的来.我就在学校附近的一个公园里等我爸弄完.我爸给我说当时他回去以后教练一直在想方设法想从我爸口里套出来我的位置.真的很后怕.我出来以后也曾发过几次文章.都是被删掉了.评论就更别说了.还好我在里面还比较乖一点.不然我真得有心理阴影了[呆]',)","('0.028%',)","('99.972%',)",负向
"('希望有人能看到这个评论.千万不要去河南登封市的那些武校.',)","('0.169%',)","('99.831%',)",负向
"('前几年看豫章书院的负面新闻来着，闹挺大还以为解决了，没想到这会儿还在蹦哒，唉',)","('4.145%',)","('95.855%',)",负向
"('还是再说一句，现在豫章书院已经转移到：南昌龙悔心理教育专修学校，毕竟法人都是吴君豹，虽然改了名字，但是这个学校本质上还是和豫章书院是一样的，希望大家能扩散开让更多人知道！',)","('5.271%',)","('94.729%',)",负向
"('前来纠正，错误消息传播太严重了！“南昌龙悔心理教育专修学院”实则已经吊销，现在名为“堂渊文”，“堂渊文”高管和大股东都是吴军豹，并且该公司在2019年依旧在申请“豫章书院”商标！但是近日，“堂渊文”的高管和股东中吴军豹的名字消失了，取而代之是名为“胡赢风”的人名！详情可以看cv3880828！',)","('1.684%',)","('98.316%',)",负向
"('不要再说是豫章修身而不是豫章书院这种误导人的话了，这是吴军豹水军分热度用的，看看B站科普就知道，就是豫章书院回复 @龟壳下天坑 :北宋历史上那个豫章书院早就没了，现在叫南昌大学！现在南昌只有两个学校带豫章，全都是吴军豹的。对了，真的豫章书院好像就是现在的南昌大学。',)","('1.01%',)","('98.99%',)",负向
"('我跟你素未谋面，但如果吴军豹谋害于你，我会为这个社会的正义而战不得不说上天是不公平的，很多人的命运从出生开始就已经被注定，但上天又是公平的，因为谁也逃不过死亡。只有也仅有在死神面前，人人才会平等',)","('52.154%',)","('47.846%',)",负向
"('匹夫一怒，血溅五步。十步之内，人尽敌国',)","('4.044%',)","('95.956%',)",负向
"('简单的说，如果吴真的被杀了，手法残忍，并且整个过程广泛传播到全世界，这个问题就彻底的解决了，中央一定会介入。',)","('2.031%',)","('97.969%',)",负向
"('大佬，你这个发言让我浮想联翩啊[微笑]',)","('95.392%',)","('4.608%',)",负向
"('你们说书院里的人会不会对祖国有些抱怨呢。抱怨他们为什么不把自己救出去抱怨他们为什么没把这些人抓起来。我们在外面是不知道，但里面的人肯定绝望了吧。一天天的，希望出去得到自由，一天天的失望。渐渐地就没有希望了，就妥协了，就变成一个乖乖巧巧的木偶，余生都伴随着噩梦痛苦抑郁。我知道很难但是真的希望能赶紧把这些人抓起来 。把他们送进去的父母真是恶心自己的教育失败让孩子承受这么大的痛苦让孩子留下一辈子的心理阴影。而且还不承认什么都是网络的错什么都是游戏的错它们从来没有错 。连我的语音都认为这群父母是猪不配称为人。',)","('0.002%',)","('99.998%',)",负向
"('我记到有句名言是:“一想到为人父母竟然不用考试，就真的是太可怕了 ”',)","('0.317%',)","('99.683%',)",负向
"('回复 @Grace777777 :这个真不好说，也许没有戒网瘾学校，但是可能有其他类似的，身边好多愚昧无知的人。。',)","('2.115%',)","('97.885%',)",负向
"('求求up主看一下吧，真正愿意提供帮助的up主，av73812179,大家顶我上去让温柔看到',)","('96.687%',)","('3.313%',)",负向
"('上去！',)","('91.536%',)","('8.464%',)",负向
"('顶，刚看过小饭的视频',)","('98.833%',)","('1.167%',)",负向
"('顶！',)","('99.986%',)","('0.014%',)",负向
"('我是一个老师，在之前曝光这些事的时候，我在家长会上专门提及这件事以及对孩子的影响，但是理解我的家长真的不多，最近我跟我父母讨论这个事，他们说：“你有没有考虑过，父母为什么把孩子送过去？有哪个家长回不去了解学校就把孩子送过去的？哪个父母不是为了孩子好的？这些孩子如果不是父母管不了了，拿他们没办法了，为什么要把他们送进去。”我一一回答了这些问题，努力强调：“父母是孩子的第一任老师，学校是德与知识的传授地，孩子的教育是多方面责任的。不能把家庭教育的失败，跟学校教育的失败的责任全部丢给孩子。孩子是一张白纸，你写啥，就是啥。孩子是没有系统的完整的人生观，价值观和是非观的。”但是一点用都没有，还跟我说：“当初如果不是你学习跟玩游戏分的还算清，你也早就进去了，我俩讨论过很多次了。”吓的我背后冷汗一阵一阵的，同时也深深理解到，父母，根本就不会去背锅，他们只会把自己的观念强加到孩子身上，不去考虑教育的过程，只追求结果，只要结果是他们想要的，那就是好的，他们不会去考虑过程，唯结果论（这也是社会的现象），我最怕的就是我最后也变成这样，因为我改变不了我身边大环境的认知。',)","('0.053%',)","('99.947%',)",负向
"('顶上去，无关真假，这次事件如果能像敬汉卿哪样闹大，那么全国像你这样的青少年就会迎来曙光',)","('0.522%',)","('99.478%',)",负向
"('笔杆子是你最锋利的武器，我们是立在你背后的无数路人甲，祖国的未来有人守护，黑暗永远盖不住光明。',)","('92.532%',)","('7.468%',)",负向
"('回复 @失落者的港湾 :笑死，还大多数有问题，张嘴就来。人有七情六欲，非要扯的话，谁不能找出点点问题？难道不是家长的问题更大吗？退一万步说就算学生有天大的问题家长是白莲花，难道这就是动私刑的理由？监狱看守所里那么多问题人士，难道都不用依法处罚，全送豫章书院虐待几年就正义了？那我们还要法律来做什么！',)","('0.0%',)","('100.0%',)",负向
"('回复 @失落者的港湾 :有地点没有看懂你的意思？那么无动于衷很好吗？',)","('1.228%',)","('98.772%',)",负向
"('回复 @失落者的港湾 :希望你是你口中被牺牲掉的人吧',)","('0.091%',)","('99.909%',)",负向
"('几年前，我看到了一些关于杨永信的事件，然后我妈说我有网瘾，想把我送去这个学校。之后我解释这个学校的坏处。用一句话把我回绝了：为什么有问题的学校还没关门呢？我哑口无言。不过到最后还是没送去，最近我问起来了这个问题，她说不记得有这件事了。当时心里真的很怕。有点阴影[蛆音娘_扶额]',)","('0.002%',)","('99.998%',)",负向
"('我江西的，我爸老师，之前吵得很厉害的时候他说了一句想送我去豫章书院的事情，我当时真的背脊发凉，那个时候已经爆出来新闻了，对我影响很大，所以到现在我都不怎么和我爸说话',)","('16.284%',)","('83.716%',)",负向
"('我说句可能会冒犯你的话，这种家长基本都是一群懦夫，自己的无能，让孩子变成那样，结果还想摆脱自己的责任，各种找借口，把自己的孩子置于暗无天日的地方。要是祈祷有用，我很希望这种家长能早点18岁。',)","('0.048%',)","('99.952%',)",负向
"('最好给你妈解释清楚[doge][doge][doge]让他康康这类视频',)","('95.449%',)","('4.551%',)",负向
"('愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一分热，发一分光。就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。如若今后没有炬火，你便是唯一的光。                                                     ―鲁迅',)","('41.462%',)","('58.538%',)",负向
"('做父母最舒服的就是不用考试，孩子变成什么样子他们都能掌控，恕我直言，不仅是吴军豹它们不算人，某些父母也从来都不配为人',)","('59.628%',)","('40.371%',)",负向
"('反正我会绝望的，报复社会的心都有了[无语]',)","('0.01%',)","('99.99%',)",负向
"('（大家伙顶我上去）我是一名得抑郁症的学生，看到您的视频后，我想起了我的过往，我前后住过三次院，在病房里，见了很多人，听了很多事，我住的算是好一点的医院，那些比这医院稍微差点的，根本不会把患者当人看，我心想着，那些小县城里面的所谓的疯人院，难道不跟当今横行的豫章书院一样吗？即使那所谓的疯人还有一点自由，我希望能帮助你们点什么。真的',)","('0.271%',)","('99.729%',)",负向
"('你以为疯人院里关的全是疯子？是不是疯子有时候你说了不算的[妙啊][妙啊]',)","('0.191%',)","('99.809%',)",负向
"('[捂脸]不要轻易相信别人的话 我也是抑郁症患者 吃药6年了 你只有亲自去你说的那些比较差的精神病院看过才有话语权的',)","('3.83%',)","('96.171%',)",负向
"('我也是老师，其实这种问题很简单。聪明的人会站在别人的角度看自己，愚蠢的人只会站在自己的角度看别人。跟这样的人说话，只要告诉他们什么是对的就行了，没有必要告诉他们什么是错的，因为这种人不会承认并改错的',)","('17.117%',)","('82.883%',)",负向
"('没办法，中国社会就这样，读书时就只看成绩，出了社会就只看你赚多少，永远以结果来衡量一个人',)","('0.019%',)","('99.981%',)",负向
"('中国的实用主义是有传统的，重经验而轻内在规律，过分崇拜祖制而鄙视探究创新，从来不做“没用的事”，现在经济发展迅速但精神文明建设薄弱，所以助长了浮躁的风气，简单粗暴至上论',)","('29.144%',)","('70.856%',)",负向
"('你是英雄...或许吧，至少现在我认为你是英雄[画风突变]',)","('51.473%',)","('48.527%',)",负向
"('感觉你好恐怖',)","('3.899%',)","('96.101%',)",负向
"('我也是这样认为的Hero.',)","('99.056%',)","('0.944%',)",负向
"('我也觉得',)","('90.516%',)","('9.484%',)",负向
"('10月28日人民日报刊发标题为《举报豫章书院遭到死亡威胁，背后是谁在搞鬼的文章》，有关部门已经重视起来了，up主加油。',)","('2.022%',)","('97.978%',)",负向
"('顶',)","('99.913%',)","('0.088%',)",负向
"('我顶！',)","('99.921%',)","('0.079%',)",负向
"('顶',)","('99.913%',)","('0.088%',)",负向
"('我感觉这是一个求救视频，曾经这些志愿者拯救了豫章书院的学生，而现在他们面对报复时，就如死亡可怕，但更可怕的是被告知死亡。我想这些志愿者现在也许生活在不知报复何会出现，在何处出现的焦虑和恐惧，这会逼疯人。曾经他们拯救他人，而现在谁来拯救他们。网络舆论？我感到无奈而已愤怒，唯有苦笑一下。望正义不会缺席',)","('0.078%',)","('99.922%',)",负向
"('我们能做些什么。。。',)","('20.27%',)","('79.73%',)",负向
"('突然鼻子一酸',)","('3.132%',)","('96.868%',)",负向
"('虽然迟到的正义不再是正义，但我们仍然需要他',)","('96.005%',)","('3.995%',)",负向
"('现在的家长沉迷手机、微信、快手、抖音是否需要送进去治疗一下，以奴隶制的制度，殴打、监禁，强迫式的屈服他人服从自己的理念，以关爱为由却不去沟通，他们的今天也许就是你们的明天。仇恨的种子已经种下，到时候不要恨因为那是爱。',)","('12.821%',)","('87.179%',)",负向
"('我就有点纳闷  为什么会有网瘾呢，父母之爱子，必为其计其深。父母都不给孩子爱和关怀，又能让谁给这些孩子以改变呢？',)","('20.04%',)","('79.96%',)",负向
"('@共青团中央团团快来吧',)","('87.667%',)","('12.332%',)",负向
"('鲁迅先生的文字，至今读来仍心头一热，可以一往无前了。',)","('99.629%',)","('0.371%',)",负向
"('如若今后没有炬火，你便是唯一的光。',)","('69.001%',)","('30.999%',)",负向
"('温柔就是现代鲁迅啊。。。',)","('91.206%',)","('8.794%',)",负向
"('话不多说支持就完事了[蛆音娘_OK]',)","('1.393%',)","('98.607%',)",负向
"('他这不是蹭热度吧[囧]    他可是这个事情的推进者和付出者，早就在风暴的中心的，报复的风险也早就吃满了。。。现在这波热度也本就是他的视频发起的，因为光靠他们自己解决不了问题了，只能发动舆论的力量了。',)","('0.391%',)","('99.609%',)",负向
"('@共青团中央',)","('85.288%',)","('14.712%',)",负向
"('老哥 别蹭了 [偷笑] 当然想发声也是好的，记得加大力度。',)","('99.035%',)","('0.965%',)",负向
"('曾经他和战友保护了学生，现在他和战友需要被保护',)","('97.631%',)","('2.369%',)",负向
"('我是一个雕刻家，我找了一根木头，我不小心把木头雕刻坏了，一定是这个木头的问题。嗯，这个木头不争气，这个木头可能是因为上瘾了所以我没有雕刻好。是环境的问题，那么我要怎么办呢？找一些专业的人来做吧，我放弃这个木头了。嗯这个木头确实需要严格的对待，估计电击一下，打一下，虐待一下这个木头可能会听话一点。嗯，我是爱这个木头的啊，可是这个木头为什么这样不争气？',)","('0.037%',)","('99.963%',)",负向
"('诶？我们县的疯人院还挺有名的   台州第二人民医院    那里的都是真的精神有疾病的患者啊    跟豫章书院这种地方不一样吧……',)","('47.81%',)","('52.19%',)",负向
"('吴军豹啊吴军豹，给你改过自新的机会，你不珍惜那这次可就不会手下留情了',)","('53.084%',)","('46.916%',)",负向
"('拉倒吧，吴军豹背后是真正的黑恶势力，所以他才安然无恙。',)","('11.659%',)","('88.341%',)",负向
"('我想说一句黑暗的话，他还能逍遥法外',)","('1.864%',)","('98.136%',)",负向
"('你仔细看一下结尾那段话，“但如果死亡威胁不是出于他的授意，被嫁祸的吴军豹，也应当得到法律的正名和保护”，仔细想想这段话，有没有觉得这段话有点在导向',)","('7.613%',)","('92.387%',)",负向
"('回复 @ILSKK :提出这一假设那会不会造成一种导向呢？如果他们找个人给钱，让那个人说是对手，或者有矛盾故意诬陷，那明知道就是他们发的威胁，只要有人来承担这个责任，到最后针对死亡威胁这个事情他们还会变成受害者，这是其一，只要死亡威胁有人承担了，他们就可以买通人做导向，那他们开这种违规学校，体罚殴打学生的事就有可能被遗忘，这个是有很大可能的',)","('0.004%',)","('99.996%',)",负向
"('回复 @十九礼 :对，文章中段就提出了死亡威胁可能是由双方都不知情的第三方给出的这一假设。',)","('1.785%',)","('98.215%',)",负向
"('我现在一定加油读书，以后尽量当上官，我一定会彻彻底底的关掉所谓的戒网瘾学校的，我真的看不下去这些人',)","('1.187%',)","('98.813%',)",负向
"('你有一颗可爱的心，但是行政方面没这么简单的，除非你做到省会一把手那种程度，在中国起码50岁以上，而且你的各方面能力必须最顶尖',)","('94.061%',)","('5.939%',)",负向
"('你放心，除非是到达主席的地位，不然你动了那些人的蛋糕，分分钟被整下来[阴险]',)","('7.095%',)","('92.905%',)",负向
"('哎 说到这个我就感同身受 以前穷买不起智能手机 就只能看看电视 现在好起来了 村里几乎人人都有智能手机了最近 我爸也买了一台 然后学着孩子村里大人也开始玩微信 甚至开始玩快手 以前没手机都是一起打牌  现在见面都是谈快手 智能手机是啥没弄懂 微信加了一堆人一堆群 还说什么加了赵丽颖微信[无语]  吃饭也是看快手 吃完还是看快手 跟他说话都听不到 把我妈气坏了 以前舍不得花钱 现在微信给他绑了卡 他充钱送女主播[笑哭] 我一个亲戚甚至几天就送了3000左右  一个月工资啊！ 我为这事专门说了我爸 好了一点！看到红包和什么看视频领红包就去点 无奈！我爸也老了，我也不是死心眼，随他吧，不太严重就好，我只在心里想想！',)","('0.038%',)","('99.962%',)",负向
"('中央政法委都来了，共青团中央不来也行',)","('98.701%',)","('1.298%',)",负向
"('艾特个毛线，有毛线用[傲娇]',)","('71.274%',)","('28.726%',)",负向
"('回复 @白羊座Asd :就是温柔动态里的中国长安网  那个就是政法委官方号',)","('93.314%',)","('6.686%',)",负向
"('说句实话，就算这次吴军豹栽了那又怎么样？只要还有那样愚昧无能的家长存在，就一定还会有李军豹、张军豹站出来继续残害孩子们！毕竟需求决定市场不是吗？只要这么做还有利益，那就一定有人干！不信你们就看看吧！',)","('0.009%',)","('99.991%',)",负向
"('回复 @陨落之光rs :不，主要还是有这个市场，有这个需求。有需求总会有人干的。。。',)","('8.955%',)","('91.045%',)",负向
"('回复 @陨落之光rs :这就又扯到资本家了，难道所谓的gongchan主义中丑恶的人还少了吗',)","('0.015%',)","('99.985%',)",负向
"('大家尽自己的一份力，多三连，让跟多的人知道这件事，就是对他们最大的帮助。',)","('99.595%',)","('0.405%',)",负向
"('作为一个今年才知道这件事情的，对于戒网瘾这件事情来说，就是家长教育的缺失，找到了这样的学校，产生了这样的黑色产业',)","('12.811%',)","('87.189%',)",负向
"('回复 @见路不走5138 :然后木头碎了，碎成屑了随便别人揉捏成什么形状了，家长们高呼万岁了！',)","('0.05%',)","('99.95%',)",负向
"('初中时，这类学校的广告出现在电视上。广告标语是：纠正早恋，网瘾，行为不良我妈当时洗完菜从厨房走了出来，看见这广告眉头一皱“只有无能的父母，才会把孩子送去给别人去管教。”',)","('0.007%',)","('99.993%',)",负向
"('我就不同了，我妈曾经开玩笑地看了新闻吓唬我说（那时我沉迷小花仙），你再玩这些破游戏，就把你送到那去。这时我哥恰好听到了，笑着对咱妈淡淡地说了句，那我隔几年后，就送你二老去差不多性质的养老院……【真的就是用笑着的表情说出这话的，但语气是真的让我也给吓到了，我妈就不用说了，也在没用这事吓过我（￣▽￣）】（当然也主要是我也没碰过电脑游戏了，毕竟每天休息时间，都要被哥逼着和他一起去练跆拳道和书法，周末还要帮他一起经营他朋友的服装店，哪有空啊『我才不说，还有一个原因也主要是我哥的朋友好好看，身材也好辣的缘故呢[偷笑]』）',)","('17.202%',)","('82.798%',)",负向
"('我妈也是。我看到这个新闻跟她说，只说到有些因为网瘾就被父母送进去，我妈一撇嘴，表示强烈不满，因为我在叛逆期的时候可皮了，我要是有这样的父母早就造送进去了。她还和我一起把那个新闻给看完了。我妈打死也不会把我送进去的，第一是她觉得不安全，毕竟是自己孩子，还有就是半年就3万也太贵了，我妈舍不得。有这三万干什么不好，偏偏要给别人欺负自己孩子，吃饱了撑了。',)","('0.023%',)","('99.977%',)",负向
"('每天都来刷一下，等这件事有一个结果',)","('88.574%',)","('11.426%',)",负向
"('我也是，这几天还看着这些事哭了好多次',)","('86.52%',)","('13.48%',)",负向
"('要一个交代',)","('5.838%',)","('94.162%',)",负向
"('我一天刷好几次',)","('93.804%',)","('6.196%',)",负向
"('现在在南昌上大学，真没想到还有这种事情，经常在街道马路上看见扫黑除恶的横幅，我每次看见都在想，哪里来的黑恶啊，从来没见过没听过，，，我现在知道了， 这世界还是有很多肮脏的东西的，但是请永远不要放弃希望，因为有那么多挺你们的人，还有政府大力度的扫黑除恶，相信那些畜生会得到应有的惩罚的[阴险]',)","('3.715%',)","('96.285%',)",负向
"('它死了也不能赎罪',)","('0.057%',)","('99.943%',)",负向
"('整理下我的想法。1.亮出受骚扰的证据，方便大家举报2.让受到骚扰的志愿者自己站出来说话（保证隐私的前提下，比如只留声音）3.报案，被骚扰就向当地警察报案（多流弊的人都不能再当地警察面前吊）',)","('0.081%',)","('99.919%',)",负向
