content,time
例如学校禁烟.里面的表演队学生（上春晚少林表演那种）就会在学校倒卖烟.5块的烟卖50.没钱的就捡教练的烟头抽.因为那学校真没什么消遣的.我抽烟就是因为在那学校才染上的.教练发展老生眼线严密监视我们新生有逃跑念头.一旦被抓到就是暴打.当时有一伙学生就是商量逃跑被发现了.然后挨个挨个打.打断n根棍.更甚还用床架的钢管打过.后面我离开学校是我每次发手机就告诉我爸那学校多恐怖多恐怖.最后把我爸说通了.然后我爸从浙江开车过来以带我出去玩的借口带走.在学校外的几天教练也还时不时给我爸打电话问我们在哪.我爸当时也有些飘忽不定.一直逗留在登封.后面我声泪俱下的求着我爸才成的.原本定的出去两天.我们四天都没回去.最后一次给我爸打电话的时候口气时不时就是在暗示我回去以后有我好果子吃.我爸也听出来些就决心带我走了.告诉教练以后教练就让我俩回学校再说.还用我曾经想进跆拳道班诱惑我.但我知道回去肯定不可能再出的来.我就在学校附近的一个公园里等我爸弄完.我爸给我说当时他回去以后教练一直在想方设法想从我爸口里套出来我的位置.真的很后怕.我出来以后也曾发过几次文章.都是被删掉了.评论就更别说了.还好我在里面还比较乖一点.不然我真得有心理阴影了[呆],2019-10-29 19:28:20
希望有人能看到这个评论.千万不要去河南登封市的那些武校.,2019-10-29 19:31:13
顶上去，无关真假，这次事件如果能像敬汉卿哪样闹大，那么全国像你这样的青少年就会迎来曙光,2019-10-29 20:51:17
笔杆子是你最锋利的武器，我们是立在你背后的无数路人甲，祖国的未来有人守护，黑暗永远盖不住光明。,2019-10-29 18:50:50
"回复 @失落者的港湾 :笑死，还大多数有问题，张嘴就来。
人有七情六欲，非要扯的话，谁不能找出点点问题？
难道不是家长的问题更大吗？
退一万步说就算学生有天大的问题家长是白莲花，难道这就是动私刑的理由？监狱看守所里那么多问题人士，难道都不用依法处罚，全送豫章书院虐待几年就正义了？
那我们还要法律来做什么！",2019-10-30 00:47:40
回复 @失落者的港湾 :有地点没有看懂你的意思？那么无动于衷很好吗？,2019-10-29 23:19:34
回复 @失落者的港湾 :希望你是你口中被牺牲掉的人吧,2019-10-30 02:57:44
"几年前，我看到了一些关于杨永信的事件，然后我妈说我有网瘾，想把我送去这个学校。
之后我解释这个学校的坏处。用一句话把我回绝了：为什么有问题的学校还没关门呢？我哑口无言。
不过到最后还是没送去，最近我问起来了这个问题，她说不记得有这件事了。
当时心里真的很怕。有点阴影[蛆音娘_扶额]",2019-10-29 18:50:03
我江西的，我爸老师，之前吵得很厉害的时候他说了一句想送我去豫章书院的事情，我当时真的背脊发凉，那个时候已经爆出来新闻了，对我影响很大，所以到现在我都不怎么和我爸说话,2019-10-29 20:46:36
我说句可能会冒犯你的话，这种家长基本都是一群懦夫，自己的无能，让孩子变成那样，结果还想摆脱自己的责任，各种找借口，把自己的孩子置于暗无天日的地方。要是祈祷有用，我很希望这种家长能早点18岁。,2019-10-29 21:30:05
最好给你妈解释清楚[doge][doge][doge]让他康康这类视频,2019-10-29 20:43:25
"我跟你素未谋面，但如果吴军豹谋害于你，我会为这个社会的正义而战
不得不说上天是不公平的，很多人的命运从出生开始就已经被注定，但上天又是公平的，因为谁也逃不过死亡。只有也仅有在死神面前，人人才会平等",2019-10-29 19:38:11
匹夫一怒，血溅五步。十步之内，人尽敌国,2019-10-30 01:53:09
简单的说，如果吴真的被杀了，手法残忍，并且整个过程广泛传播到全世界，这个问题就彻底的解决了，中央一定会介入。,2019-10-30 10:46:08
大佬，你这个发言让我浮想联翩啊[微笑],2019-10-29 22:20:26
你们说书院里的人会不会对祖国有些抱怨呢。抱怨他们为什么不把自己救出去抱怨他们为什么没把这些人抓起来。我们在外面是不知道，但里面的人肯定绝望了吧。一天天的，希望出去得到自由，一天天的失望。渐渐地就没有希望了，就妥协了，就变成一个乖乖巧巧的木偶，余生都伴随着噩梦痛苦抑郁。我知道很难但是真的希望能赶紧把这些人抓起来 。把他们送进去的父母真是恶心自己的教育失败让孩子承受这么大的痛苦让孩子留下一辈子的心理阴影。而且还不承认什么都是网络的错什么都是游戏的错它们从来没有错 。连我的语音都认为这群父母是猪不配称为人。,2019-10-29 19:37:09
我记到有句名言是:“一想到为人父母竟然不用考试，就真的是太可怕了 ”,2019-10-29 22:04:30
做父母最舒服的就是不用考试，孩子变成什么样子他们都能掌控，恕我直言，不仅是吴军豹它们不算人，某些父母也从来都不配为人,2019-10-29 23:34:27
反正我会绝望的，报复社会的心都有了[无语],2019-10-29 23:07:47
（大家伙顶我上去）我是一名得抑郁症的学生，看到您的视频后，我想起了我的过往，我前后住过三次院，在病房里，见了很多人，听了很多事，我住的算是好一点的医院，那些比这医院稍微差点的，根本不会把患者当人看，我心想着，那些小县城里面的所谓的疯人院，难道不跟当今横行的豫章书院一样吗？即使那所谓的疯人还有一点自由，我希望能帮助你们点什么。真的,2019-10-29 21:36:18
你以为疯人院里关的全是疯子？是不是疯子有时候你说了不算的[妙啊][妙啊],2019-10-29 23:38:01
[捂脸]不要轻易相信别人的话 我也是抑郁症患者 吃药6年了 你只有亲自去你说的那些比较差的精神病院看过才有话语权的,2019-10-30 00:11:16
诶？我们县的疯人院还挺有名的   台州第二人民医院    那里的都是真的精神有疾病的患者啊    跟豫章书院这种地方不一样吧……,2019-10-29 23:37:48
"吴军豹啊吴军豹，给你改过自新的机会，你不珍惜

那这次可就不会手下留情了",2019-10-29 19:46:23
我也是老师，其实这种问题很简单。聪明的人会站在别人的角度看自己，愚蠢的人只会站在自己的角度看别人。跟这样的人说话，只要告诉他们什么是对的就行了，没有必要告诉他们什么是错的，因为这种人不会承认并改错的,2019-10-31 09:16:40
没办法，中国社会就这样，读书时就只看成绩，出了社会就只看你赚多少，永远以结果来衡量一个人,2019-10-30 16:20:09
中国的实用主义是有传统的，重经验而轻内在规律，过分崇拜祖制而鄙视探究创新，从来不做“没用的事”，现在经济发展迅速但精神文明建设薄弱，所以助长了浮躁的风气，简单粗暴至上论,2019-10-30 21:29:19
"求求up主看一下吧，真正愿意提供帮助的up主，av73812179,大家顶我上去让温柔看到",2019-10-29 21:30:07
上去！,2019-10-29 23:10:48
顶，刚看过小饭的视频,2019-10-29 22:41:54
顶！,2019-10-29 23:49:00
我们能做些什么。。。,2020-03-22 05:43:17
突然鼻子一酸,2019-11-09 08:08:10
虽然迟到的正义不再是正义，但我们仍然需要他,2019-11-01 20:56:49
现在的家长沉迷手机、微信、快手、抖音是否需要送进去治疗一下，以奴隶制的制度，殴打、监禁，强迫式的屈服他人服从自己的理念，以关爱为由却不去沟通，他们的今天也许就是你们的明天。仇恨的种子已经种下，到时候不要恨因为那是爱。,2019-10-30 13:22:23
我就有点纳闷  为什么会有网瘾呢，父母之爱子，必为其计其深。父母都不给孩子爱和关怀，又能让谁给这些孩子以改变呢？,2019-10-30 23:58:19
哎 说到这个我就感同身受 以前穷买不起智能手机 就只能看看电视 现在好起来了 村里几乎人人都有智能手机了最近 我爸也买了一台 然后学着孩子村里大人也开始玩微信 甚至开始玩快手 以前没手机都是一起打牌  现在见面都是谈快手 智能手机是啥没弄懂 微信加了一堆人一堆群 还说什么加了赵丽颖微信[无语]  吃饭也是看快手 吃完还是看快手 跟他说话都听不到 把我妈气坏了 以前舍不得花钱 现在微信给他绑了卡 他充钱送女主播[笑哭] 我一个亲戚甚至几天就送了3000左右  一个月工资啊！ 我为这事专门说了我爸 好了一点！看到红包和什么看视频领红包就去点 无奈！我爸也老了，我也不是死心眼，随他吧，不太严重就好，我只在心里想想！,2019-11-06 05:40:57
等到家长进去时，你就像是他们口中所说的家长了，我们不支持这种行为，这是对的，但我们绝不能用这种行为报复这些‘’沉迷的家长‘’，我痛恨这种行为，但不意味着我们可以用这种行为对待没做好或是沉迷的家长，希望不要这么想，我们看到这些内容很气愤，但不应被气愤冲昏头脑。,2019-11-03 01:58:29
"@共青团中央
团团快来吧",2019-10-29 19:45:52
"愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一分热，发一分光。就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。
如若今后没有炬火，你便是唯一的光。
                                                     ―鲁迅",2019-10-29 18:51:38
鲁迅先生的文字，至今读来仍心头一热，可以一往无前了。,2019-10-29 22:15:52
如若今后没有炬火，你便是唯一的光。,2019-10-29 21:15:35
温柔就是现代鲁迅啊。。。,2019-10-29 21:52:59
"初中时，这类学校的广告出现在电视上。
广告标语是：纠正早恋，网瘾，行为不良
我妈当时洗完菜从厨房走了出来，看见这广告眉头一皱
“只有无能的父母，才会把孩子送去给别人去管教。”",2019-10-31 00:07:43
我就不同了，我妈曾经开玩笑地看了新闻吓唬我说（那时我沉迷小花仙），你再玩这些破游戏，就把你送到那去。这时我哥恰好听到了，笑着对咱妈淡淡地说了句，那我隔几年后，就送你二老去差不多性质的养老院……【真的就是用笑着的表情说出这话的，但语气是真的让我也给吓到了，我妈就不用说了，也在没用这事吓过我（￣▽￣）】（当然也主要是我也没碰过电脑游戏了，毕竟每天休息时间，都要被哥逼着和他一起去练跆拳道和书法，周末还要帮他一起经营他朋友的服装店，哪有空啊『我才不说，还有一个原因也主要是我哥的朋友好好看，身材也好辣的缘故呢[偷笑]』）,2019-11-03 14:22:27
"我妈也是。我看到这个新闻跟她说，只说到有些因为网瘾就被父母送进去，我妈一撇嘴，表示强烈不满，因为我在叛逆期的时候可皮了，我要是有这样的父母早就造送进去了。她还和我一起把那个新闻给看完了。
我妈打死也不会把我送进去的，第一是她觉得不安全，毕竟是自己孩子，还有就是半年就3万也太贵了，我妈舍不得。有这三万干什么不好，偏偏要给别人欺负自己孩子，吃饱了撑了。",2019-11-03 12:01:52
好父母，羡慕！[2233娘_卖萌],2019-11-01 15:21:02
话不多说支持就完事了[蛆音娘_OK],2019-10-29 19:10:35
他这不是蹭热度吧[囧]    他可是这个事情的推进者和付出者，早就在风暴的中心的，报复的风险也早就吃满了。。。现在这波热度也本就是他的视频发起的，因为光靠他们自己解决不了问题了，只能发动舆论的力量了。,2019-10-31 10:58:34
@共青团中央,2019-10-30 12:33:35
老哥 别蹭了 [偷笑] 当然想发声也是好的，记得加大力度。,2019-10-29 22:44:32
拉倒吧，吴军豹背后是真正的黑恶势力，所以他才安然无恙。,2019-10-30 14:08:29
我想说一句黑暗的话，他还能逍遥法外,2019-10-30 07:12:57
它死了也不能赎罪,2019-10-30 00:08:31
"整理下我的想法。
1.亮出受骚扰的证据，方便大家举报
2.让受到骚扰的志愿者自己站出来说话（保证隐私的前提下，比如只留声音）
3.报案，被骚扰就向当地警察报案（多流弊的人都不能再当地警察面前吊）",2019-10-29 18:56:35
"10月21日全国扫黑办召开新闻发布会，大家关心的这些问题都有了明确的答案。国家监委与最高人民法院、最高人民检察院、公安部、司法部联合印发的《关于在扫黑除恶专项斗争中分工负责、互相配合、互相制约 严惩公职人员涉黑涉恶违法犯罪问题的通知》

全国扫黑除恶专项斗争领导小组办公室：http://www.12337.gov.cn/
中共中央纪律检查委员会/中华人民共和国国家监察委员会：http://www.12388.gov.cn/
中华人民共和国最高人民检察院：http://www.12309.gov.cn/
中华人民共和国公安部举报中心：http://www.12389.gov.cn/
中央网信办（国家互联网信息办公室）违法和不良信息举报中心：http://www.12377.cn/

任何组织和个人不得通过虐待、胁迫等非法手段从事预防和干预未成年人沉迷网络的活动，损害未成年人身心健康，侵犯未成年人合法权益。",2019-10-29 18:57:49
骚扰的人一般不会亲自出马 都是各种乱七八糟的号码，当不成实质证据。也不是没报案，但是证据不足,2019-10-29 19:42:36
10月28日人民日报刊发标题为《举报豫章书院遭到死亡威胁，背后是谁在搞鬼的文章》，有关部门已经重视起来了，up主加油。,2019-10-30 09:51:34
你仔细看一下结尾那段话，“但如果死亡威胁不是出于他的授意，被嫁祸的吴军豹，也应当得到法律的正名和保护”，仔细想想这段话，有没有觉得这段话有点在导向,2019-10-30 12:11:41
加油吧！,2019-10-29 18:29:32
借个楼谢谢，我也写了豫章书院的文章，求顶,2019-11-08 19:52:13
回复 @苍白面纱 :已顶,2020-03-08 12:52:18
回复 @苍白面纱 :老哥顶你,2020-02-08 00:07:26
"或许看这个视频不会有多少家长，但或许会有很多沉迷于网络的青少年吧。在这里说下我一个比较远房点的堂弟戒除网瘾的方法，算是给家长，也是给网瘾的你的一个提示吧。当然，每个人都不一样，这个方法未必适合你。
我这个弟弟呢，是我爷爷的弟弟，也就是我叔公的孙子。我叔叔九几年来深圳打拼，算不算富余，但也是属于小康之家了。自己开了家小公司，平时应酬还是蛮多的。他平时教育小孩的方式算是很传统的那种棍棒教育，而我婶子则是那种溺爱式的教育。在这种极端环境下呢，我弟也就开始沉迷网络游戏，而且经常性逃课去玩游戏。那会呢，我大学刚毕业1年，他上高一，玩的DNF。然后把他的学费1万8（上的是民办的那种学校，有点贵族式那种）全拿来玩游戏了。对老师就说家里暂时拿不出钱，要暂缓交学费。他也是个人才，一直忽悠学校忽悠了快1个学期，还找了个人冒充我叔给老师打电话解释。后面是学校顶不住了，家访，才败露。
事情败露后呢，我叔是气到心律不齐住院了。两父子还打了一架。。。。。。我婶呢，除了哭啥都做不了。
那会我跟我弟其实关系还可以，我还带着他刷过图。。。。。。[无语]，他还是乐意跟我聊天。通过聊天呢，基本上我是明白了他的一些想法，他也不想要玩游戏，但这玩意就像DUPIN一样，不玩的时候百爪挠心，感觉非常枯燥觉得人生都没意义。（我不是学心理的，不知道是不是抑郁症之类的心理问题）
那会很凑巧，我刚跟女朋友完成了一次从广东开车到山东的自驾游，虽然一路上都是瞎折腾，没玩到啥，但走了那么远的路，就是感觉整个人的视野开阔了很多，于是就跟我叔建议，反正目前书也读不成了，要不直接带着我弟也来一趟父子的自驾游吧。
当时我叔也不知道啥心理吧，结果也就听了我这个建议，带着我弟开车从广东一路跑到了新疆。。。。。边走边玩花了2个半月吧。
路上故事蛮多的，回来之后两个人都是变了，虽然谈不上父慈子孝，但至少关系也不再像仇人一样了。我弟也基本上是脱离了网瘾，虽然书还是读不懂高中读完就出来帮我书的忙做生意了。。。。。。",2019-10-29 22:43:19
中央政法委都来了，共青团中央不来也行,2019-10-29 22:16:15
艾特个毛线，有毛线用[傲娇],2019-10-30 23:21:48
回复 @白羊座Asd :就是温柔动态里的中国长安网  那个就是政法委官方号,2019-10-30 13:17:11
说句实话，就算这次吴军豹栽了那又怎么样？只要还有那样愚昧无能的家长存在，就一定还会有李军豹、张军豹站出来继续残害孩子们！毕竟需求决定市场不是吗？只要这么做还有利益，那就一定有人干！不信你们就看看吧！,2019-10-30 12:06:43
回复 @陨落之光rs :不，主要还是有这个市场，有这个需求。有需求总会有人干的。。。,2019-10-30 23:39:34
回复 @陨落之光rs :这就又扯到资本家了，难道所谓的gongchan主义中丑恶的人还少了吗,2020-02-11 18:47:39
大家尽自己的一份力，多三连，让跟多的人知道这件事，就是对他们最大的帮助。,2019-10-29 18:37:49
我有个朋友，就是被送到这种学校的，待了好像两年多，回来这个人都变了，根本不联系我们这些朋友，我去找过他两次，第一次去找他，没见到他，他妈见的我说他不在，第二次去找他，人没了，自杀了，在我们这的华强大酒店顶楼跳楼自杀了。以前挺开朗的一个人，好好的就没了，唉。开这种学校的人都该死。,2019-10-30 08:04:10
曾经他和战友保护了学生，现在他和战友需要被保护,2019-10-29 19:00:05
我是一个雕刻家，我找了一根木头，我不小心把木头雕刻坏了，一定是这个木头的问题。嗯，这个木头不争气，这个木头可能是因为上瘾了所以我没有雕刻好。是环境的问题，那么我要怎么办呢？找一些专业的人来做吧，我放弃这个木头了。嗯这个木头确实需要严格的对待，估计电击一下，打一下，虐待一下这个木头可能会听话一点。嗯，我是爱这个木头的啊，可是这个木头为什么这样不争气？,2019-10-30 10:15:26
作为一个今年才知道这件事情的，对于戒网瘾这件事情来说，就是家长教育的缺失，找到了这样的学校，产生了这样的黑色产业,2019-10-30 06:43:15
回复 @见路不走5138 :然后木头碎了，碎成屑了随便别人揉捏成什么形状了，家长们高呼万岁了！,2019-10-30 23:17:27
每天都来刷一下，等这件事有一个结果,2019-10-29 18:30:55
我也是，这几天还看着这些事哭了好多次,2019-10-29 21:03:07
要一个交代,2019-10-29 20:25:40
我一天刷好几次,2019-10-29 22:20:41
现在在南昌上大学，真没想到还有这种事情，经常在街道马路上看见扫黑除恶的横幅，我每次看见都在想，哪里来的黑恶啊，从来没见过没听过，，，我现在知道了， 这世界还是有很多肮脏的东西的，但是请永远不要放弃希望，因为有那么多挺你们的人，还有政府大力度的扫黑除恶，相信那些畜生会得到应有的惩罚的[阴险],2019-10-29 18:36:52
回复 @男王SAMA :我江西人，看到别人地域黑我从来不好意思反驳[捂脸]因为我感觉他们说的都对,2019-10-29 22:07:11
回复 @哎呦威子 :如果不放出实在的证据，加油是帮不到受到伤害的人的,2019-10-29 18:58:22
我跟我妈提了豫章书院，然后她说之前不晓得有这种地方，知道的话就把我送过去。虽然知道只是开玩笑的话，但还是……心凉了半截。,2019-10-29 22:11:41
